spot_id,location_name,ward,lat,lon,elevation_m,historical_frequency_per_monsoon,avg_water_depth_cm,primary_cause,linked_road_id,linked_drain_id,risk_severity
WLS_HND_01,"Hindmata Cinema Junction, Dadar / Parel",F/S,19.0095,72.8425,1.8,14,65,"Saucer-shaped topographical depression, inadequate gravity fall to outfall",RD_AMB_01,DRN_HND_01,Critical
WLS_GND_02,"Gandhi Market / King's Circle, Sion",F/N,19.0315,72.858,1.9,16,75,"Extreme low elevation, tidal backflow from Mahim Creek via railway culvert",RD_AMB_02,DRN_CHN_01,Critical
WLS_MLN_03,"Milan Subway, Santacruz West / East",H/W,19.0865,72.8395,1.2,18,95,"Railway underpass depression below groundwater table, rapid surface runoff",RD_SVR_02,DRN_IRL_01,Critical
WLS_AND_04,"Andheri Subway, Andheri West / East",K/W,19.119,72.844,1.1,22,120,"Severely depressed railway underpass, Mogra Nallah backflow, low suction capacity",RD_SVR_04,DRN_OSH_02,Critical
WLS_KHR_05,"Khar Subway, Khar West / East",H/W,19.0715,72.8375,1.4,12,55,"Depressed underpass gradient, Gazdarband Nallah tidal lock",RD_SVR_01,DRN_GAZ_01,High
WLS_KRL_06,Kurla Kamani & LBS Marg Junction,L,19.072,72.884,2.1,15,70,"Mithi River overflow overtopping road level, heavy siltation in local drains",RD_LBS_01,DRN_MIT_02,Critical
WLS_SIO_07,Sion Circle & SIES College Lowline,F/N,19.0385,72.8625,2.0,11,50,Confluence of runoff from Sion Fort hillock and flat coastal plane,RD_EEH_01,DRN_CHN_01,High
WLS_DDR_08,Dadar TT Circle & Swami Narayan Temple,F/N,19.0185,72.8465,2.4,9,45,High surface runoff accumulation from multiple arterial road intersections,RD_AMB_01,DRN_HND_01,Moderate-High
WLS_CHM_09,"Postal Colony & Shell Colony, Chembur",M/W,19.0585,72.894,2.6,10,55,"Low-lying reclaimed marshland, slow gravity drainage into Mahul Creek",RD_EEH_02,DRN_MHL_01,High
WLS_MLD_10,Malad Subway & S.V. Road Junction,P/N,19.1865,72.846,1.5,14,85,"Underpass depression, Poisar river tributary backwater effect",RD_SVR_05,DRN_POI_02,Critical
WLS_DHS_11,"Dahisar Subway, Dahisar East / West",R/N,19.251,72.861,1.6,11,60,"Depressed railway passage, Dahisar river high stage backflow",RD_WEH_05,DRN_DAH_01,High
WLS_CHN_12,Chunabhatti Railway Level / Sion-Trombay Road Jn,L,19.0515,72.873,1.9,13,65,"Severe railway track and road depression, low storm drain carrying capacity",RD_SCL_01,DRN_CHN_01,Critical
WLS_WRL_13,Worli Naka & Dr Annie Besant Road Jn,G/S,19.001,72.8185,2.7,7,40,"Road junction runoff overload, Love Grove outfall high tide head",RD_SNB_01,DRN_SWD_001,Moderate
WLS_BYC_14,Byculla Police Station / Saat Rasta (Mahalaxmi),E,18.981,72.829,2.2,8,45,"Multi-road bottleneck convergence, old British-era arch drains siltation",RD_AMB_01,DRN_SWD_002,Moderate-High
WLS_MNK_15,Mankhurd Railway Station Low Line,M/E,19.0475,72.931,1.7,12,60,"Tidal creek proximity, insufficient retention pond capacity",RD_LOC_010,DRN_MHL_01,High
WLS_FN_016,F/N Ward Chronic Hotspot #16 near F/N Ward Sector 28 Connec,F/N,19.02485,72.868,1.7,7,63,Insufficient Drain Gradient,RD_LOC_028,DRN_SWD_042,High
WLS_GN_017,G/N Ward Chronic Hotspot #17 near G/N Ward Sector 47 Connec,G/N,19.02356,72.82642,3.1,5,48,Insufficient Drain Gradient,RD_LOC_047,DRN_MIT_03,Moderate
WLS_KE_018,K/E Ward Chronic Hotspot #18 near K/E Ward Sector 57 Connec,K/E,19.11757,72.86649,7.2,12,43,Insufficient Drain Gradient,RD_LOC_057,DRN_SWD_030,Moderate
WLS_RC_019,R/C Ward Chronic Hotspot #19 near SV Road (Kandivali to Bor,R/C,19.22608,72.84814,5.4,11,60,Insufficient Drain Gradient,RD_SVR_06,DRN_SWD_039,High
WLS_L_020,L Ward Chronic Hotspot #20 near Lal Bahadur Shastri (LBS),L,19.08138,72.8902,1.8,6,29,Insufficient Drain Gradient,RD_LBS_01,DRN_CHN_01,High
WLS_HW_021,H/W Ward Chronic Hotspot #21 near SV Road (Santacruz Milan ,H/W,19.05949,72.82524,4.7,15,31,Catch-pit Siltation,RD_SVR_02,DRN_GAZ_01,High
WLS_MW_022,M/W Ward Chronic Hotspot #22 near M/W Ward Sector 50 Connec,M/W,19.04063,72.88806,4.3,6,60,Insufficient Drain Gradient,RD_LOC_050,DRN_SWD_024,High
