road_id,road_name,ward,surface_type,construction_concreting_year,contractor_id,contractor_name,contractor_performance_rating,project_cost_inr_crores,dlp_period_years,dlp_expiry_year,is_currently_under_dlp,free_contractor_maintenance_active,last_major_resurfacing_date,next_scheduled_audit_date
RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,Asphalt Over CC Base,2017,CONTR_BMC_103,J. Kumar Infraprojects Ltd,4.5,18.9,3,2020,False,False,2019-04-15,2025-05-10
RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,Mastic Asphalt,2019,CONTR_BMC_106,NCC Infrastructure Ltd,4.4,21.84,5,2024,True,True,2019-04-15,2025-05-10
RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,Mastic Asphalt,2022,CONTR_BMC_105,Eagle Infra India Ltd,4.1,20.16,5,2027,True,True,2022-04-15,2025-05-10
RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,Cement Concrete,2016,CONTR_BMC_103,J. Kumar Infraprojects Ltd,4.5,81.25,10,2026,True,True,2018-04-15,2025-05-10
RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,Cement Concrete,2014,CONTR_BMC_103,J. Kumar Infraprojects Ltd,4.5,50.0,10,2024,True,True,2014-04-15,2025-05-10
RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,Bituminous Asphalt,2021,CONTR_BMC_101,L&T Infrastructure Engineering Ltd,4.8,13.44,3,2024,True,True,2021-04-15,2025-05-10
RD_SVR_02,SV Road (Santacruz Milan Subway Approach),H/W,Bituminous Asphalt,2022,CONTR_BMC_101,L&T Infrastructure Engineering Ltd,4.8,8.82,3,2025,True,True,2022-04-15,2025-05-10
RD_SVR_03,SV Road (Vile Parle to Andheri Station West),K/W,Mastic Asphalt,2019,CONTR_BMC_105,Eagle Infra India Ltd,4.1,14.7,5,2024,True,True,2019-04-15,2025-05-10
RD_SVR_04,SV Road (Andheri Subway Section to Jogeshwari),K/W,Bituminous Asphalt,2019,CONTR_BMC_102,MEP Infrastructure Developers,4.2,12.6,3,2022,False,False,2019-04-15,2025-05-10
RD_SVR_05,SV Road (Goregaon to Malad Subway Jn),P/N,Bituminous Asphalt,2022,CONTR_BMC_101,L&T Infrastructure Engineering Ltd,4.8,17.64,3,2025,True,True,2022-04-15,2025-05-10
RD_SVR_06,SV Road (Kandivali to Borivali Station West),R/C,Cement Concrete,2014,CONTR_BMC_103,J. Kumar Infraprojects Ltd,4.5,57.5,10,2024,True,True,2023-04-15,2025-05-10
RD_LNK_01,New Link Road (Bandra West to Khar Danda),H/W,Cement Concrete,2020,CONTR_BMC_106,NCC Infrastructure Ltd,4.4,35.0,10,2030,True,True,2021-04-15,2025-05-10
RD_LNK_02,New Link Road (Juhu Circle to Andheri Infinity Mall),K/W,Cement Concrete,2023,CONTR_BMC_104,RPS Infrastructure Ltd,4.0,51.25,10,2033,True,True,2023-04-15,2025-05-10
