road_id,road_name,ward,survey_cycle,surface_type,iri_roughness_m_per_km,riding_quality,structural_crack_index_pct,rutting_depth_mm
RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,Pre-Monsoon 2024,Asphalt Over CC Base,3.9,Fair,5.8,14.5
RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,Mid-Monsoon 2024,Asphalt Over CC Base,6.03,Poor / Degraded,11.4,15.4
RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,Post-Monsoon 2024,Asphalt Over CC Base,5.19,Poor / Degraded,5.6,14.0
RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,Pre-Monsoon 2024,Mastic Asphalt,3.08,Fair,12.4,17.7
RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,Mid-Monsoon 2024,Mastic Asphalt,6.2,Poor / Degraded,4.6,10.4
RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,Post-Monsoon 2024,Mastic Asphalt,5.68,Poor / Degraded,11.0,12.9
RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,Pre-Monsoon 2024,Mastic Asphalt,3.34,Fair,10.2,18.5
RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,Mid-Monsoon 2024,Mastic Asphalt,6.43,Poor / Degraded,8.9,8.3
RD_WEH_03,Western Express Highway (Andheri to Goregaon Hub),P/S,Post-Monsoon 2024,Mastic Asphalt,5.24,Poor / Degraded,9.0,6.3
RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,Pre-Monsoon 2024,Cement Concrete,2.05,Good,2.0,1.0
RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,Mid-Monsoon 2024,Cement Concrete,2.53,Good,1.1,0.6
RD_WEH_04,Western Express Highway (Goregaon to Borivali National Park),R/C,Post-Monsoon 2024,Cement Concrete,2.39,Good,2.7,0.0
RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,Pre-Monsoon 2024,Cement Concrete,2.08,Good,1.8,1.7
RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,Mid-Monsoon 2024,Cement Concrete,2.46,Good,3.8,1.3
RD_WEH_05,Western Express Highway (Borivali to Dahisar Toll Naka),R/N,Post-Monsoon 2024,Cement Concrete,2.37,Good,1.8,0.5
RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,Pre-Monsoon 2024,Bituminous Asphalt,3.9,Fair,3.9,21.7
RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,Mid-Monsoon 2024,Bituminous Asphalt,6.48,Poor / Degraded,10.0,7.5
RD_SVR_01,Swami Vivekanand (SV) Road (Bandra Lucky Jn to Khar),H/W,Post-Monsoon 2024,Bituminous Asphalt,5.34,Poor / Degraded,13.8,21.8
RD_SVR_02,SV Road (Santacruz Milan Subway Approach),H/W,Pre-Monsoon 2024,Bituminous Asphalt,4.23,Fair,3.7,10.8
RD_SVR_02,SV Road (Santacruz Milan Subway Approach),H/W,Mid-Monsoon 2024,Bituminous Asphalt,6.05,Poor / Degraded,9.0,21.9
RD_SVR_02,SV Road (Santacruz Milan Subway Approach),H/W,Post-Monsoon 2024,Bituminous Asphalt,5.38,Poor / Degraded,2.9,17.9
RD_SVR_03,SV Road (Vile Parle to Andheri Station West),K/W,Pre-Monsoon 2024,Mastic Asphalt,4.21,Fair,5.4,6.1
RD_SVR_03,SV Road (Vile Parle to Andheri Station West),K/W,Mid-Monsoon 2024,Mastic Asphalt,6.25,Poor / Degraded,5.9,7.2
RD_SVR_03,SV Road (Vile Parle to Andheri Station West),K/W,Post-Monsoon 2024,Mastic Asphalt,5.11,Poor / Degraded,9.8,5.0
RD_SVR_04,SV Road (Andheri Subway Section to Jogeshwari),K/W,Pre-Monsoon 2024,Bituminous Asphalt,3.53,Fair,11.1,5.6
RD_SVR_04,SV Road (Andheri Subway Section to Jogeshwari),K/W,Mid-Monsoon 2024,Bituminous Asphalt,6.21,Poor / Degraded,6.4,20.0
RD_SVR_04,SV Road (Andheri Subway Section to Jogeshwari),K/W,Post-Monsoon 2024,Bituminous Asphalt,5.34,Poor / Degraded,11.2,7.0
RD_SVR_05,SV Road (Goregaon to Malad Subway Jn),P/N,Pre-Monsoon 2024,Bituminous Asphalt,3.85,Fair,6.6,13.1
RD_SVR_05,SV Road (Goregaon to Malad Subway Jn),P/N,Mid-Monsoon 2024,Bituminous Asphalt,5.97,Poor / Degraded,2.6,12.0
RD_SVR_05,SV Road (Goregaon to Malad Subway Jn),P/N,Post-Monsoon 2024,Bituminous Asphalt,5.45,Poor / Degraded,4.4,6.0
RD_SVR_06,SV Road (Kandivali to Borivali Station West),R/C,Pre-Monsoon 2024,Cement Concrete,1.73,Good,2.2,2.9
RD_SVR_06,SV Road (Kandivali to Borivali Station West),R/C,Mid-Monsoon 2024,Cement Concrete,2.63,Good,2.6,1.8
